epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,488.295,5.89034,11.3234,6.73228,0.00443,0.04777,0.00569,0.00258,4.42684,9.52358,4.87582,0.00333153,0.00333153,0.00333153
2,1011.6,3.83853,7.78661,4.01778,0.20137,0.06877,0.0445,0.02537,3.56166,6.74607,3.72135,0.00659888,0.00659888,0.00659888
3,1550.07,3.4434,6.16384,3.52965,0.2778,0.16807,0.12176,0.07221,3.26518,5.34582,3.36477,0.00980023,0.00980023,0.00980023
4,2091.05,3.26354,5.30392,3.29697,0.34086,0.24603,0.21151,0.13282,3.0284,4.47551,3.11572,0.009703,0.009703,0.009703
