epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,888.326,2.96029,4.73273,3.4406,0.31531,0.03676,0.02153,0.0098,2.16613,3.3048,2.54147,0.00333153,0.00333153,0.00333153
2,1544.4,1.86462,3.24523,2.11721,0.24682,0.15596,0.11652,0.06767,1.68835,2.50392,1.90974,0.00664287,0.00664287,0.00664287
3,2194.77,1.60023,2.64202,1.80301,0.33653,0.24921,0.20505,0.12456,1.48559,2.1326,1.69227,0.00993221,0.00993221,0.00993221
4,2842.76,1.46381,2.24793,1.65805,0.43286,0.30974,0.30586,0.19974,1.33686,1.76359,1.54297,0.009901,0.009901,0.009901
5,3486.05,1.36828,1.99078,1.56887,0.49074,0.3566,0.36648,0.24507,1.25391,1.58351,1.46205,0.009868,0.009868,0.009868
6,4127.12,1.31566,1.85077,1.51686,0.5216,0.39069,0.40546,0.27706,1.19788,1.47224,1.4098,0.009835,0.009835,0.009835
7,4775.66,1.27676,1.76065,1.47946,0.54893,0.40998,0.43434,0.29901,1.16601,1.39704,1.37976,0.009802,0.009802,0.009802
8,5421.91,1.25382,1.69652,1.45409,0.55207,0.43146,0.45141,0.3137,1.14433,1.35513,1.356,0.009769,0.009769,0.009769
9,6067.92,1.23316,1.64149,1.43123,0.5671,0.43901,0.46375,0.32356,1.12671,1.32506,1.33924,0.009736,0.009736,0.009736
