loss_bbox: 0.1668 (0.1645)  loss_giou: 0.4883 (0.5031)  loss_vfl: 0.7349 (0.7626)
loss_bbox: 0.1745 (0.1652)  loss_giou: 0.4449 (0.5004)  loss_vfl: 0.7478 (0.7621)
loss_bbox: 0.1627 (0.1652)  loss_giou: 0.4839 (0.4999)  loss_vfl: 0.7307 (0.7612)
loss_bbox: 0.1552 (0.1636)  loss_giou: 0.4875 (0.4992)  loss_vfl: 0.7061 (0.7586)
loss_bbox: 0.1591 (0.1638)  loss_giou: 0.4952 (0.4986)  loss_vfl: 0.7515 (0.7602)
loss_bbox: 0.1486 (0.1632)  loss_giou: 0.4827 (0.4968)  loss_vfl: 0.7251 (0.7583)
loss_bbox: 0.1485 (0.1632)  loss_giou: 0.5013 (0.4951)  loss_vfl: 0.7206 (0.7579)
loss_bbox: 0.1549 (0.1630)  loss_giou: 0.4828 (0.4965)  loss_vfl: 0.7437 (0.7567)
loss_bbox: 0.1707 (0.1629)  loss_giou: 0.4788 (0.4963)  loss_vfl: 0.7180 (0.7541)
loss_bbox: 0.1429 (0.1627)  loss_giou: 0.4933 (0.4952)  loss_vfl: 0.7019 (0.7534)
loss_bbox: 0.1458 (0.1621)  loss_giou: 0.4937 (0.4945)  loss_vfl: 0.7219 (0.7513)
loss_bbox: 0.1605 (0.1624)  loss_giou: 0.5352 (0.4938)  loss_vfl: 0.7361 (0.7534)
loss_bbox: 0.1563 (0.1616)  loss_giou: 0.4524 (0.4965)  loss_vfl: 0.8013 (0.7508)
loss_bbox: 0.1442 (0.1615)  loss_giou: 0.4472 (0.4929)  loss_vfl: 0.7563 (0.7503)
loss_bbox: 0.1468 (0.1610)  loss_giou: 0.5009 (0.4925)  loss_vfl: 0.7349 (0.7490)
loss_bbox: 0.1368 (0.1613)  loss_giou: 0.4646 (0.4915)  loss_vfl: 0.7725 (0.7484)
loss_bbox: 0.1661 (0.1606)  loss_giou: 0.4425 (0.4905)  loss_vfl: 0.7317 (0.7474)
loss_bbox: 0.1620 (0.1597)  loss_giou: 0.4771 (0.4911)  loss_vfl: 0.7449 (0.7458)
